Small unit postcode,Jul 2025 - Installation Quantity,Aug 2025 - Installation Quantity,Sep 2025 - Installation Quantity,Oct 2025 - Installation Quantity,Nov 2025 - Installation Quantity,Dec 2025 - Installation Quantity,Jan 2026 - Installation Quantity,Feb 2026 - Installation Quantity,Mar 2026 - Installation Quantity,Apr 2026 - Installation Quantity,May 2026 - Installation Quantity,Total Installation Quantity
5414,0,0,0,0,0,0,1,0,0,0,0,1
5415,2,1,2,0,1,0,1,2,0,4,0,13
5416,0,0,1,1,2,2,0,0,0,0,0,6
5417,3,2,3,3,3,3,1,8,1,5,1,33
5418,0,0,0,0,1,0,0,0,0,0,0,1
5419,1,0,0,0,0,0,1,0,0,0,0,2
5420,0,0,0,1,0,0,0,0,0,1,0,2
5421,1,0,0,0,2,1,0,1,0,0,0,5
5422,3,0,3,2,0,5,6,1,5,6,1,32
5431,1,0,1,0,0,1,1,0,1,2,0,7
5432,0,0,1,0,0,2,0,0,1,3,0,7
5433,2,0,2,1,2,1,0,4,2,4,0,18
5434,0,1,1,0,0,6,0,1,1,9,0,19
5440,0,0,1,0,0,1,0,0,0,0,0,2
5451,3,4,1,2,1,4,4,4,6,3,1,33
5452,9,0,1,1,1,2,1,2,1,2,1,21
5453,12,9,16,11,9,10,7,8,16,19,3,120
5454,1,0,2,0,1,3,0,0,2,3,0,12
5455,0,0,0,0,0,1,0,0,0,0,0,1
5460,0,2,1,0,4,1,4,1,0,4,0,17
5461,8,4,2,5,9,4,3,6,6,11,1,59
5462,0,0,1,0,0,1,0,4,1,1,0,8
5464,0,2,1,0,1,2,0,0,2,3,0,11
5470,0,0,0,0,0,0,1,0,0,0,0,1
5472,1,0,0,1,0,1,0,0,1,0,0,4
5473,3,2,1,0,1,3,2,1,2,5,0,20
5480,2,0,2,0,1,3,0,3,1,3,0,15
5481,1,1,0,1,0,2,0,1,0,0,0,6
5482,0,0,0,1,1,1,0,0,0,2,0,5
5483,0,0,0,1,0,1,0,0,2,2,1,7
5485,1,0,1,1,1,1,2,1,4,2,0,14
5490,0,0,0,1,1,0,0,0,0,0,0,2
5491,1,1,0,1,5,5,2,3,9,12,0,39
5493,0,1,1,0,0,0,0,1,0,0,0,3
5495,1,2,5,2,1,0,0,2,2,1,0,16
5501,34,35,30,50,43,51,36,43,45,66,13,446
5502,3,1,1,3,1,2,3,4,4,1,0,23
5510,0,0,0,0,1,1,0,1,1,0,0,4
5520,2,0,1,2,1,0,0,0,0,2,0,8
5522,5,4,3,6,8,5,3,2,2,10,2,50
5523,2,1,4,1,8,9,1,4,4,7,2,43
5540,14,16,16,26,18,21,7,23,26,35,3,205
5550,4,1,0,4,0,0,0,2,2,2,1,16
5552,1,1,0,2,0,1,0,0,2,4,0,11
5554,13,11,14,9,15,11,9,16,13,20,4,135
5555,2,1,1,2,6,1,0,2,2,4,0,21
5556,22,22,19,22,16,24,5,11,16,29,1,187
5558,13,15,18,32,21,20,20,21,21,29,7,217
5560,1,0,1,0,0,0,1,3,4,1,1,12
5570,0,4,0,4,0,3,3,3,0,1,0,18
5571,3,10,10,3,1,4,2,7,7,5,3,55
5572,0,0,0,0,0,0,0,2,1,1,0,4
5573,15,4,4,3,11,12,1,13,11,10,3,87
5575,11,8,7,6,8,12,2,9,7,15,3,88
5576,2,1,0,4,2,3,3,0,3,2,0,20
5577,3,0,3,2,0,1,1,4,5,2,1,22
5580,1,1,1,1,1,1,2,4,2,3,0,17
5581,3,1,3,3,3,1,0,1,2,7,0,24
5582,3,2,3,2,2,2,3,7,3,7,1,35
5583,3,2,2,4,4,1,2,2,2,4,3,29
5600,7,1,16,5,12,2,5,12,6,11,1,78
5601,0,0,0,0,0,0,0,0,0,1,0,1
5602,4,2,3,5,3,2,1,2,7,2,1,32
5603,3,1,0,1,0,0,0,1,0,0,1,7
5604,1,1,1,1,0,0,1,0,1,0,0,6
5605,2,5,5,4,4,4,1,4,6,5,0,40
5606,11,16,17,20,30,26,13,19,15,22,0,189
5607,8,8,10,11,15,26,5,11,19,21,0,134
5608,5,7,16,7,18,8,8,15,19,6,3,112
5609,2,2,5,3,3,5,1,1,2,4,1,29
5631,1,2,2,1,1,1,0,0,3,3,0,14
5632,0,0,0,0,1,0,0,0,0,0,0,1
5633,0,0,0,0,0,2,0,0,0,0,0,2
5640,0,5,3,1,2,0,1,3,0,0,0,15
5641,0,0,2,2,3,3,3,1,1,1,0,16
5642,0,0,0,0,0,0,0,0,1,1,0,2
5651,1,0,0,0,0,0,0,0,1,0,0,2
5652,0,0,1,0,1,0,0,0,0,2,0,4
5653,0,0,0,0,0,0,0,0,0,1,0,1
5654,0,0,0,2,0,0,0,1,2,0,0,5
5655,0,0,0,0,0,1,1,0,0,0,0,2
5670,0,0,0,2,4,4,0,3,4,3,0,20
5671,0,0,1,0,0,0,0,0,0,0,0,1
5680,1,4,3,3,6,8,0,5,5,5,1,41
5690,2,1,3,8,5,6,0,2,4,3,0,34
5700,7,10,16,8,14,11,4,15,14,20,1,120
5710,4,1,1,8,3,8,2,5,2,4,0,38
5713,0,0,0,0,2,0,0,0,1,0,0,3
5722,0,0,0,0,1,0,0,1,0,0,0,2
5723,0,2,0,0,0,0,0,0,0,0,0,2
5724,0,2,0,0,0,0,0,0,0,0,0,2
5725,0,2,0,2,1,0,1,0,1,1,0,8
5731,1,0,0,0,0,0,0,0,0,0,0,1
5733,0,0,0,2,0,0,0,0,0,0,0,2
6000,0,2,1,5,2,4,4,3,5,6,2,34
6003,2,1,3,0,0,1,3,3,2,2,1,18
6004,0,2,4,2,3,4,1,2,1,4,1,24
6005,1,2,0,0,2,2,2,1,4,1,1,16
6006,10,18,13,13,11,17,14,16,13,21,4,150
6007,10,7,8,16,11,5,9,7,11,6,3,93
6008,16,14,22,23,22,33,18,20,28,25,9,230
6009,13,22,22,33,36,35,17,34,45,56,16,329
6010,14,17,24,32,34,28,26,27,26,32,7,267
6011,7,12,13,13,10,16,14,14,19,19,8,145
6012,11,17,9,12,18,18,9,15,17,15,6,147
6014,18,30,31,48,37,37,22,41,36,53,11,364
6015,9,10,16,11,10,16,7,13,14,25,5,136
6016,10,14,23,17,21,12,8,16,26,16,5,168
6017,2,0,2,0,5,5,2,1,5,4,1,27
6018,46,59,76,66,71,70,47,57,74,78,31,675
6019,30,26,20,20,32,30,18,23,39,32,16,286
6020,23,40,40,53,43,33,26,50,38,50,19,415
6021,16,23,29,32,24,31,30,37,29,41,16,308
6022,1,5,13,8,10,10,8,8,13,12,4,92
6023,13,20,26,31,29,46,34,27,31,46,17,320
6024,7,16,23,20,29,13,20,28,25,40,10,231
6025,27,48,41,66,53,47,59,57,68,62,31,559
6026,16,35,39,52,58,45,46,47,46,42,25,451
6027,41,53,48,63,75,71,59,78,86,86,41,701
6028,24,23,36,52,46,41,27,36,70,66,20,441
6029,1,4,4,3,3,3,2,7,5,10,2,44
6030,33,42,62,64,60,78,54,68,73,90,43,667
6031,25,38,33,33,44,48,33,41,34,51,14,394
6032,0,0,0,0,0,0,1,0,0,1,0,2
6033,0,0,1,1,1,1,1,1,3,1,0,10
6034,5,11,19,20,24,8,16,38,28,20,12,201
6035,7,25,33,32,38,25,32,38,33,39,17,319
6036,12,22,35,27,24,27,20,39,32,44,15,297
6037,7,13,13,10,19,9,11,14,13,18,9,136
6038,9,39,18,23,39,32,25,35,30,31,18,299
6041,1,0,2,5,3,3,6,2,6,5,1,34
6042,0,0,0,0,0,0,0,1,0,0,0,1
6043,2,2,1,0,0,0,0,1,1,0,0,7
6044,2,1,1,3,3,3,1,3,2,3,0,22
6050,7,19,23,26,21,36,25,24,27,39,9,256
6051,8,7,15,20,18,14,5,16,14,15,8,140
6052,9,14,19,15,22,19,13,20,20,17,12,180
6053,11,19,21,29,24,23,17,23,27,39,10,243
6054,15,19,29,34,22,37,28,22,28,26,20,280
6055,41,75,109,117,116,154,109,120,140,145,40,"1,166"
6056,38,46,62,63,62,59,51,63,71,101,34,650
6057,7,18,20,23,23,29,25,22,35,31,16,249
6058,9,9,32,31,24,17,27,23,25,41,10,248
6059,18,20,27,53,49,45,40,40,40,55,10,397
6060,18,23,20,28,35,24,23,17,36,30,14,268
6061,13,24,23,48,38,33,34,42,27,38,11,331
6062,21,38,44,56,47,57,40,54,65,63,20,505
6063,12,26,26,30,26,46,33,26,30,38,7,300
6064,15,28,22,35,39,38,24,30,42,36,12,321
6065,56,108,128,148,169,192,139,147,207,204,57,"1,555"
6066,13,26,24,39,17,22,23,25,52,52,8,301
6069,39,95,76,100,111,141,107,122,141,110,40,"1,082"
6070,3,7,0,7,6,3,6,4,7,14,3,60
6071,7,7,4,5,6,3,9,8,9,12,2,72
6072,0,2,0,2,2,4,2,1,3,4,0,20
6073,2,3,1,4,5,3,9,10,5,14,2,58
6074,3,4,1,5,5,0,1,4,1,5,0,29
6076,18,19,40,47,45,39,37,35,39,60,17,396
6077,1,2,1,5,4,3,4,3,5,10,3,41
6078,0,1,0,3,2,3,0,2,3,3,2,19
6079,0,0,0,0,0,0,1,0,0,0,0,1
6081,4,4,7,9,13,7,10,10,3,15,2,84
6082,4,3,4,6,6,10,8,5,8,7,4,65
6083,5,8,8,8,6,8,3,9,10,10,1,76
6084,12,36,38,32,24,34,36,40,37,43,12,344
6090,0,0,0,1,2,1,0,2,0,3,0,9
6100,5,21,18,26,19,17,11,22,19,23,4,185
6101,9,19,25,28,39,20,25,24,39,34,12,274
6102,6,9,13,22,14,13,15,11,21,26,5,155
6103,3,7,10,11,6,7,10,11,10,21,5,101
6104,8,17,22,29,26,27,15,23,29,30,9,235
6105,6,11,18,29,15,16,27,18,23,26,12,201
6106,0,0,0,0,1,0,0,1,0,0,1,3
6107,42,57,64,95,79,86,66,70,98,153,33,843
6108,21,24,41,35,37,36,29,40,58,39,14,374
6109,8,14,10,15,20,17,20,16,21,25,9,175
6110,33,63,57,97,84,99,78,89,101,110,45,856
6111,25,34,39,38,60,31,36,40,47,47,15,412
6112,80,112,122,175,181,173,159,207,225,238,119,"1,791"
6121,3,5,7,8,11,9,3,7,4,10,1,68
6122,55,54,55,51,59,67,50,89,53,89,42,664
6123,4,4,7,2,2,9,5,7,6,2,8,56
6124,1,2,1,0,2,2,2,1,0,3,1,15
6125,2,7,5,6,6,6,2,5,9,14,5,67
6126,1,0,0,0,0,0,0,2,0,0,0,3
6147,11,21,21,29,31,30,21,24,25,26,14,253
6148,25,50,43,58,58,48,35,49,68,60,16,510
6149,27,49,61,46,55,56,38,29,71,68,17,517
6150,24,35,30,43,33,29,28,32,42,52,13,361
6151,10,21,16,20,24,14,10,16,27,29,11,198
6152,21,41,35,50,58,40,38,37,39,47,13,419
6153,24,40,41,39,42,52,38,48,67,79,17,487
6154,20,21,27,24,15,15,18,16,23,25,9,213
6155,62,101,135,162,137,128,93,157,175,223,49,"1,422"
6156,16,35,26,26,30,27,19,29,33,32,16,289
6157,8,19,16,32,13,21,16,15,24,20,8,192
6158,13,11,12,15,10,14,5,10,17,13,3,123
6159,2,5,4,8,5,4,3,5,5,5,0,46
6160,6,9,6,12,8,8,6,14,13,16,3,101
6162,6,20,18,23,23,19,19,17,20,29,8,202
6163,25,53,68,94,87,95,69,89,91,107,50,828
6164,81,133,128,169,166,165,141,164,194,244,75,"1,660"
6166,6,21,15,19,19,20,21,12,23,35,7,198
6167,30,37,40,41,52,47,49,54,65,70,23,508
6168,15,32,24,39,32,20,23,25,37,39,16,302
6169,24,32,39,48,46,54,41,60,66,56,33,499
6170,11,41,36,44,56,53,47,47,55,90,19,499
6171,55,79,83,130,126,83,132,132,99,147,56,"1,122"
6172,14,30,30,31,24,15,28,37,29,22,11,271
6173,14,16,36,32,21,21,25,22,21,34,7,249
6174,5,10,17,15,18,12,22,19,18,14,7,157
6175,9,4,9,6,11,7,5,15,15,15,3,99
6176,2,4,6,8,2,3,9,5,7,9,0,55
6180,16,16,9,24,25,14,31,25,26,25,6,217
6181,0,0,2,1,0,0,0,0,0,2,0,5
6207,0,3,5,9,4,8,4,3,2,7,1,46
6208,17,21,16,34,37,35,23,28,42,36,13,302
6209,3,8,2,5,3,2,2,3,5,4,7,44
6210,93,94,100,120,130,101,103,130,150,130,82,"1,233"
6211,12,22,14,22,18,18,14,20,28,32,7,207
6213,0,0,1,2,1,2,0,1,1,0,0,8
6214,0,1,0,3,3,0,1,0,3,2,0,13
6215,5,5,6,7,4,7,3,5,3,11,0,56
6218,1,0,0,0,1,1,0,0,1,0,1,5
6219,0,0,0,0,0,2,1,0,1,1,1,6
6220,4,3,6,4,4,8,2,3,5,2,2,43
6221,0,0,0,0,0,1,0,0,0,0,0,1
6223,0,0,0,1,1,0,0,1,0,0,0,3
6224,0,1,0,2,0,0,1,1,1,1,1,8
6225,6,5,2,9,8,5,3,10,9,5,1,63
6226,2,2,0,5,1,1,1,1,2,1,0,16
6227,1,1,2,0,3,1,1,0,0,0,1,10
6228,0,0,0,0,0,0,0,1,0,0,0,1
6230,29,27,39,51,54,58,32,47,50,62,14,463
6232,6,5,12,12,14,8,11,14,7,22,2,113
6233,24,23,38,36,37,26,16,26,23,32,12,293
6236,1,4,1,3,5,4,2,3,5,9,0,37
6237,6,5,2,4,4,6,3,2,4,4,0,40
6239,5,5,8,6,8,7,6,8,5,10,1,69
6240,0,0,0,0,0,0,0,0,0,1,0,1
6243,0,0,1,0,0,0,0,0,0,0,0,1
6244,0,0,0,2,3,2,0,0,1,2,0,10
6251,0,1,1,0,0,3,0,1,0,1,0,7
6252,0,0,0,0,1,2,0,0,0,1,0,4
6253,0,1,1,1,2,0,1,1,3,1,0,11
6254,0,0,0,1,0,0,0,0,2,0,0,3
6255,3,3,4,6,3,11,2,4,5,6,2,49
6256,0,0,0,0,1,1,0,0,0,1,0,3
6258,2,1,5,2,2,5,2,3,2,5,1,30
6260,2,1,0,3,3,4,0,0,1,5,1,20
6262,2,1,1,1,0,0,0,0,2,3,1,11
6271,4,3,5,2,1,10,5,3,6,5,2,46
6275,4,1,1,1,0,3,2,1,3,4,0,20
6280,34,38,47,63,57,83,52,43,58,59,11,545
6281,8,4,11,15,21,13,8,17,15,24,4,140
6282,1,3,5,3,4,6,1,3,10,9,0,45
6284,4,2,4,6,4,8,5,3,4,13,2,55
6285,8,7,12,20,11,22,20,23,14,28,4,169
6286,3,2,2,0,4,8,1,4,4,15,0,43
6288,1,0,0,4,1,0,1,1,1,3,0,12
6290,2,3,0,1,1,0,3,1,1,5,1,18
6302,1,9,4,3,8,5,7,4,7,7,2,57
6304,1,2,3,2,2,1,1,2,4,3,0,21
6306,0,0,0,2,0,0,0,0,0,1,1,4
6308,0,0,1,2,0,1,1,1,1,1,0,8
6309,0,0,0,1,0,1,0,0,1,1,0,4
6311,1,0,0,0,2,0,0,2,1,0,0,6
6312,1,2,1,4,9,6,1,0,4,2,1,31
6313,0,0,0,0,2,1,0,0,1,0,0,4
6315,2,1,0,1,1,1,0,2,0,2,2,12
6317,0,1,1,2,0,1,0,0,2,3,0,10
6318,1,0,0,0,0,0,0,1,0,0,0,2
6321,0,0,0,0,1,0,0,0,0,0,0,1
6322,0,0,2,0,0,0,0,0,0,0,0,2
6323,0,0,1,0,1,0,1,0,1,0,0,4
6324,0,2,1,2,3,7,0,1,1,0,1,18
6326,0,0,0,2,0,0,0,0,1,1,0,4
6327,0,0,1,0,0,0,0,0,0,0,0,1
6328,0,0,1,0,0,0,0,0,0,1,0,2
6330,12,24,18,34,27,40,14,20,30,37,9,265
6333,0,6,3,7,9,6,6,4,11,16,2,70
6336,1,0,0,0,0,0,0,0,0,0,0,1
6337,0,0,0,0,0,0,0,0,1,0,0,1
6338,1,1,0,2,2,1,0,1,0,1,0,9
6341,0,0,0,0,0,1,0,0,0,0,0,1
6348,1,0,0,0,0,1,0,1,0,0,0,3
6350,0,0,0,2,0,0,0,0,0,0,0,2
6353,0,0,2,0,0,0,0,0,0,0,0,2
6358,0,1,0,0,0,0,0,1,0,0,0,2
